fecha,descripcion,ambito,id_municipio,lugar
2025-01-01,Aninovo,estatal,,
2025-01-06,Epifan�a do Se�or (D�a de Reis),estatal,,
2025-04-17,Xoves Santo,auton�mico,,
2025-04-18,Venres Santo,estatal,,
2025-05-01,D�a do Traballo,estatal,,
2025-05-17,D�a das Letras Galegas,auton�mico,,
2025-07-25,D�a Nacional de Galicia,auton�mico,,
2025-08-15,Asunci�n da Virxe,estatal,,
2025-11-01,Todos os Santos,estatal,,
2025-12-06,D�a da Constituci�n Espa�ola,estatal,,
2025-12-06,Inmaculada Concepci�n,estatal,,
2025-12-25,Natividade do Se�or,estatal,,
2025-03-04,Martes de Entroido,municipal,15001,Abegondo
2025-04-25,festa de San Marcos,municipal,15001,Abegondo
2025-05-29,festa da Ascensi�n,municipal,15002,Ames
2025-06-24,festa de San Xo�n,municipal,15002,Ames
2025-03-04,Martes de Entroido,municipal,15003,Aranga
2025-06-24,festa de San Xo�n,municipal,15003,Aranga
2025-06-10,Voto de Chanteiro,municipal,15004,Ares
2025-06-24,festa de San Xo�n,municipal,15004,Ares
2025-03-04,Martes de Entroido,municipal,15005,Arteixo
2025-06-24,festa de San Xo�n,municipal,15005,Arteixo
2025-06-24,festa de San Xo�n,municipal,15006,Arzúa
2025-07-16,festa local de Arzúa,municipal,15006,Arzúa
2025-01-22,festa de San Vicente,municipal,15007,A Baña
2025-09-09,Virxe das Dores,municipal,15007,A Baña
2025-03-04,Martes de Entroido,municipal,15008,Bergondo
2025-06-24,festa de San Xo�n,municipal,15008,Bergondo
2025-03-04,Martes de Entroido,municipal,15009,Betanzos
2025-08-16,festa de San Roque,municipal,15009,Betanzos
2025-03-04,Martes de Entroido,municipal,15010,Boimorto
2025-09-08,festas do Rosario,municipal,15010,Boimorto
2025-06-24,festividade de San Xo�n,municipal,15011,Boiro
2025-07-16,festividade do Carme,municipal,15011,Boiro
2025-01-22,festa de San Vicente,municipal,15012,Boqueixón
2025-05-29,d�a da Ascensi�n,municipal,15012,Boqueixón
2025-05-29,d�a da Ascensi�n,municipal,15013,Brión
2025-06-24,festa de San Xo�n,municipal,15013,Brión
2025-03-04,Martes de Entroido,municipal,15014,Cabana de Bergantiños
2025-08-01,festa de San Fins,municipal,15014,Cabana de Bergantiños
2025-03-04,Martes de Entroido,municipal,15015,Cabanas
2025-11-11,festa de San Marti�o,municipal,15015,Cabanas
2025-06-24,festividade de San Xo�n,municipal,15016,Camariñas
2025-07-16,festas da Virxe do Carme,municipal,15016,Camariñas
2025-03-04,Martes de Entroido,municipal,15017,Cambre
2025-06-24,festa de San Xo�n,municipal,15017,Cambre
2025-03-04,Martes de Entroido,municipal,15018,A Capela
2025-08-05,festa patronal da Capela,municipal,15018,A Capela
2025-06-24,festas patronais de San Xo�n Bautista,municipal,15019,Carballo
2025-06-25,festas patronais de San Xo�n Bautista,municipal,15019,Carballo
2025-05-02,festa local de Carnota,municipal,15020,Carnota
2025-10-31,festa local de Carnota,municipal,15020,Carnota
2025-03-04,Martes de Entroido,municipal,15021,Carral
2025-09-08,Virxe do Socorro,municipal,15021,Carral
2025-03-04,Martes de Entroido,municipal,15022,Cedeira
2025-06-13,festa de Santo Antonio,municipal,15022,Cedeira
2025-06-16,festa de Santo Adri�n,municipal,15023,Cee
2025-06-24,festa de San Xo�n,municipal,15023,Cee
2025-03-04,Martes de Entroido,municipal,15024,Cerceda
2025-06-24,festa de San Xo�n,municipal,15024,Cerceda
2025-03-04,Martes de Entroido,municipal,15025,Cerdido
2025-06-16,festa local de Cerdido,municipal,15025,Cerdido
2025-03-04,Martes de Entroido,municipal,15027,Coirós
2025-06-24,festa de San Xo�n,municipal,15027,Coirós
2025-04-25,festa de San Marcos,municipal,15028,Corcubión
2025-07-16,festa do Carme,municipal,15028,Corcubión
2025-03-04,Martes de Entroido,municipal,15029,Coristanco
2025-06-09,A Saleta (Silv�n),municipal,15029,Coristanco
2025-03-04,Martes de Entroido,municipal,15030,A Coruña
2025-06-24,festividade de San Xo�n,municipal,15030,A Coruña
2025-03-04,Martes de Entroido,municipal,15031,Culleredo
2025-06-24,festa de San Xo�n,municipal,15031,Culleredo
2025-03-04,Martes de Entroido,municipal,15032,Curtis
2025-09-08,d�a da Virxe dos Remedios,municipal,15032,Curtis
2025-04-21,Luns de Pascua,municipal,15033,Dodro
2025-09-01,festividade dos Aflixidos,municipal,15033,Dodro
2025-09-08,Virxe das Neves,municipal,15034,Dumbría
2025-12-10,festa de Santa Baia de Dumbr�a,municipal,15034,Dumbría
2025-03-05,M�rcores de Cinza,municipal,15035,Fene
2025-08-06,festa de San Salvador,municipal,15035,Fene
2025-01-07,festividade de San Xiao,municipal,15036,Ferrol
2025-04-21,Nosa Se�ora de Chamorro,municipal,15036,Ferrol
2025-04-21,Luns de Pascua,municipal,15037,Fisterra
2025-09-08,festa local de Fisterra,municipal,15037,Fisterra
2025-03-04,Martes de Entroido,municipal,15038,Frades
2025-09-29,festa de San Miguel,municipal,15038,Frades
2025-03-03,Luns de Entroido,municipal,15039,Irixoa
2025-03-04,Martes de Entroido,municipal,15039,Irixoa
2025-06-09,d�a do Pe��n,municipal,15040,Laxe
2025-07-21,festividade de Santa Cruz da Rosa,municipal,15040,Laxe
2025-03-04,Martes de Entroido,municipal,15041,A Laracha
2025-09-08,Virxe dos Milagres de Cai�n,municipal,15041,A Laracha
2025-04-25,festa de San Marcos,municipal,15042,Lousame
2025-10-03,festa de San Roqui�o,municipal,15042,Lousame
2025-03-04,Martes de Entroido,municipal,15043,Malpica de Berganti�os
2025-08-22,festa do Mar,municipal,15043,Malpica de Berganti�os
2025-03-04,Martes de Entroido,municipal,15044,Mañón
2025-09-08,festa da Patroa,municipal,15044,Mañón
2025-03-04,Martes de Entroido,municipal,15045,Mazaricos
2025-06-24,festa de San Xo�n,municipal,15045,Mazaricos
2025-04-21,Luns de Pascua,municipal,15046,Melide
2025-07-16,d�a do Carme,municipal,15046,Melide
2025-03-04,Martes de Entroido,municipal,15047,Mesía
2025-06-13,festa de Santo Ant�n,municipal,15047,Mesía
2025-03-04,Martes de Entroido,municipal,15048,Miño
2025-06-28,v�spera de San Pedro,municipal,15048,Miño
2025-03-04,Martes de Entroido,municipal,15049,Moeche
2025-04-23,festa de San Xurxo,municipal,15049,Moeche
2025-03-03,Luns de Entroido,municipal,15050,Monfero
2025-03-04,Martes de Entroido,municipal,15050,Monfero
2025-01-07,festa de Mugardos,municipal,15051,Mugardos
2025-06-10,Voto de Chanteiro,municipal,15051,Mugardos
2025-04-21,Luns de Pascua,municipal,15052,Muxía
2025-09-15,Luns da Barca,municipal,15052,Muxía
2025-06-24,festa de San Xo�n,municipal,15053,Muros
2025-07-16,festa do Carme,municipal,15053,Muros
2025-03-04,Martes de Entroido,municipal,15054,Narón
2025-06-24,festa de San Xo�n,municipal,15054,Narón
2025-03-04,Martes de Entroido,municipal,15055,Neda
2025-09-08,festa local de Neda,municipal,15055,Neda
2025-07-11,festa de San Cristovo,municipal,15056,Negreira
2025-09-22,festa de Santa Margarida,municipal,15056,Negreira
2025-06-24,festa de San Xo�n,municipal,15057,Noia
2025-07-16,festa da Virxe do Carme,municipal,15057,Noia
2025-03-04,Martes de Entroido,municipal,15058,Oleiros
2025-06-24,festa de San Xo�n,municipal,15058,Oleiros
2025-03-04,Martes de Entroido,municipal,15059,Ordes
2025-08-16,festa de San Roque,municipal,15059,Ordes
2025-03-04,Martes de Entroido,municipal,15060,Oroso
2025-09-16,festa de Santa Eufemia,municipal,15060,Oroso
2025-03-04,Martes de Entroido,municipal,15061,Ortigueira
2025-07-29,d�a de Santa Marta,municipal,15061,Ortigueira
2025-03-05,M�rcores de Cinza,municipal,15062,Outes
2025-09-29,festa de San Campio,municipal,15062,Outes
2025-03-04,Martes de Entroido,municipal,15064,Paderne
2025-08-18,festa local de Paderne,municipal,15064,Paderne
2025-04-21,Luns de Pascua,municipal,15065,Padrón
2025-05-06,festa de San Xo�n do Raio,municipal,15065,Padrón
2025-05-29,Ascensi�n do Se�or,municipal,15066,O Pino
2025-07-22,Santa Mar�a Magdalena,municipal,15066,O Pino
2025-08-18,Luns do Carme dos Pincheiros,municipal,15067,A Pobra do Caramiñal
2025-09-22,Luns do Nazareno,municipal,15067,A Pobra do Caramiñal
2025-09-08,festa local de Ponteceso,municipal,15068,Ponteceso
2025-09-15,festa local de Ponteceso,municipal,15068,Ponteceso
2025-09-08,festa das Peras,municipal,15069,Pontedeume
2025-09-10,festa das Peras,municipal,15069,Pontedeume
2025-03-04,Martes de Entroido,municipal,15070,As Pontes de García Rodr�guez
2025-07-21,festa do Carme,municipal,15070,As Pontes de García Rodr�guez
2025-03-03,Luns de Entroido,municipal,15071,Porto do Son
2025-09-09,festa local de Porto do Son,municipal,15071,Porto do Son
2025-07-16,festas do Carme,municipal,15072,Rianxo
2025-09-19,Venres de Guadalupe,municipal,15072,Rianxo
2025-07-24,festividade da Dorna,municipal,15073,Ribeira
2025-09-12,d�a de Santa Ux�a,municipal,15073,Ribeira
2025-04-21,Luns de Pascua,municipal,15074,Rois
2025-05-15,San Isidro Labrador,municipal,15074,Rois
2025-03-04,Martes de Entroido,municipal,15075,Sada
2025-06-24,festa de San Xo�n,municipal,15075,Sada
2025-03-04,Martes de Entroido,municipal,15076,San Sadurniño
2025-07-02,festividade de Santa Isabel,municipal,15076,San Sadurniño
2025-06-24,festividade de San Xo�n,municipal,15077,Santa Comba
2025-06-30,festividade de Santo Antonio,municipal,15077,Santa Comba
2025-05-29,d�a da Ascensi�n,municipal,15078,Santiago de Compostela
2025-08-16,d�a de San Roque,municipal,15078,Santiago de Compostela
2025-06-24,festa de San Xo�n,municipal,15079,Santiso
2025-09-15,festa local de Santiso,municipal,15079,Santiso
2025-03-04,Martes de Entroido,municipal,15080,Sobrado
2025-06-24,festa de San Xo�n,municipal,15080,Sobrado
2025-06-24,festa de San Xo�n,municipal,15081,As Somozas
2025-07-28,festa local das Somozas,municipal,15081,As Somozas
2025-05-29,festa da Ascensi�n,municipal,15082,Teo
2025-11-11,festa de San Marti�o,municipal,15082,Teo
2025-05-15,d�a de San Cidre,municipal,15083,Toques
2025-09-02,d�a de Santo Antol�n,municipal,15083,Toques
2025-03-04,Martes de Entroido,municipal,15084,Tordoia
2025-06-24,festa de San Xo�n,municipal,15084,Tordoia
2025-04-21,Luns de Pascua,municipal,15085,Touro
2025-06-24,festa de San Xo�n,municipal,15085,Touro
2025-03-04,Martes de Entroido,municipal,15086,Trazo
2025-09-16,festividade de Santa Eufemia,municipal,15086,Trazo
2025-03-04,Martes de Entroido,municipal,15087,Valdoviño
2025-06-24,festa de San Xo�n,municipal,15087,Valdoviño
2025-05-29,d�a da Ascensi�n,municipal,15088,Val do Dubra
2025-08-01,festa do Emigrante,municipal,15088,Val do Dubra
2025-09-22,d�a do Patio,municipal,15089,Vedra
2025-12-10,festa de Santa Baia,municipal,15089,Vedra
